team1_name,team2_name,game_time,best_ratio_team1,best_ratio_team1_betting_site,best_ratio_draw,best_ratio_draw_betting_site,best_ratio_team2,best_ratio_team2_betting_site
Bournemouth,Sheff Utd,already started,2.7,betfair,2.15,betfair,4.25,betfair
Burnley,Southampton,already started,3.25,betfair,2.25,betfair,3.0,betfair
Crystal Palace,Everton,already started,4.0,betfair,2.3,betfair,2.5,betfair
Watford,Brighton,already started,6.0,betfair,3.25,betfair,1.65,betfair
Birmingham,Bristol City,already started,3.25,betfair,2.0,betfair,3.25,betfair
Charlton,Stoke,already started,3.5,betfair,2.1,betfair,2.75,betfair
Hull,Reading,already started,1.04,betfair,12.0,betfair,25.0,betfair
Fulham,Blackburn,already started,1.28,betfair,4.5,betfair,10.0,betfair
Middlesbrough,Brentford,already started,2.5,betfair,2.2,betfair,4.0,betfair
QPR,Huddersfield,already started,2.75,betfair,2.2,betfair,3.25,betfair
Sheff Wed,Barnsley,already started,1.32,betfair,4.0,betfair,10.0,betfair
Preston,Wigan,already started,1.05,betfair,10.0,betfair,25.0,betfair
West Brom,Millwall,already started,2.1,betfair,2.3,betfair,5.0,betfair
Derby,Swansea,already started,2.5,betfair,2.2,betfair,3.5,betfair
Cardiff,Luton,already started,1.95,betfair,2.5,betfair,5.0,betfair
Bristol Rovers,Wycombe,already started,3.0,betfair,2.1,betfair,3.5,betfair
Oxford Utd,Peterborough,already started,1.36,betfair,4.0,betfair,9.0,betfair
Ipswich,Sunderland,already started,1.36,betfair,3.5,betfair,9.0,betfair
Gillingham,Burton,already started,10.0,betfair,4.0,betfair,1.34,betfair
MK Dons,Shrewsbury,already started,3.0,betfair,2.2,betfair,3.0,betfair
Rochdale,Doncaster,already started,3.5,betfair,2.3,betfair,2.5,betfair
Portsmouth,Tranmere,already started,1.14,betfair,6.0,betfair,20.0,betfair
Southend,Blackpool,already started,250.0,betfair,25.0,betfair,1.002,betfair
Bolton,Coventry,already started,18.0,betfair,4.5,betfair,1.2,betfair
Rotherham,Lincoln,already started,5.0,betfair,3.0,betfair,1.7,betfair
Fleetwood Town,AFC Wimbledon,already started,4.0,betfair,3.0,betfair,1.95,betfair
Crawley Town,Salford City,already started,1.48,betfair,3.5,betfair,8.0,betfair
Cheltenham,Scunthorpe,already started,3.25,betfair,2.1,betfair,3.0,betfair
Cambridge Utd,Newport County,already started,3.25,betfair,2.1,betfair,3.0,betfair
Macclesfield,Leyton Orient,already started,1.58,betfair,3.25,betfair,7.0,betfair
Mansfield,Morecambe,already started,4.0,betfair,3.0,betfair,1.85,betfair
Plymouth,Colchester,already started,2.5,betfair,2.3,betfair,3.5,betfair
Walsall,Forest Green,already started,7.0,betfair,3.5,betfair,1.5,betfair
Swindon,Carlisle,already started,1.85,betfair,2.5,betfair,5.0,betfair
Stevenage,Exeter,already started,3.25,betfair,2.1,betfair,3.25,betfair
Port Vale,Northampton,already started,2.75,betfair,2.3,betfair,3.25,betfair
Oldham,Crewe,already started,10.0,betfair,4.0,betfair,1.3,betfair
Hamilton,Kilmarnock,already started,1.14,betfair,6.0,betfair,14.0,betfair
Hearts,Ross Co,already started,2.1,betfair,2.4,betfair,5.0,betfair
Verl,Augsburg,already started,1.03,betfair,12.0,betfair,50.0,betfair
Kaiserslautern,Mainz,already started,1.48,betfair,3.0,betfair,10.0,betfair
Alemannia Aachen,Leverkusen,already started,250.0,betfair,75.0,betfair,1.0,betfair
Viktoria Berlin,Arminia Bielefeld,already started,75.0,betfair,10.0,betfair,1.05,betfair
FC Magdeburg,Freiburg,already started,6.0,betfair,1.34,betfair,5.0,betfair
Dassendorf,Dynamo Dresden,already started,250.0,betfair,250.0,betfair, ,betfair
FC 08 Villingen,Fortuna Dusseldorf,already started,14.0,betfair,2.2,betfair,1.7,betfair
Drochtersen-Assel,Schalke 04,already started,250.0,betfair,250.0,betfair, ,betfair
Boreham Wood,Chesterfield,already started,10.0,betfair,4.0,betfair,1.3,betfair
Woking,Harrogate Town,already started,1.58,betfair,3.25,betfair,6.0,betfair
Maidenhead,Hartlepool,already started,3.0,betfair,2.1,betfair,3.25,betfair
AFC Fylde,Ebbsfleet Utd,already started,1.16,betfair,5.0,betfair,16.0,betfair
Bromley,Torquay,already started,1.36,betfair,4.0,betfair,9.0,betfair
FC Halifax Town,Dag and Red,already started,1.4,betfair,3.5,betfair,9.0,betfair
Sutton Utd,Chorley,already started,7.0,betfair,3.5,betfair,1.46,betfair
Solihull Moors,Aldershot,already started,1.18,betfair,5.0,betfair,14.0,betfair
Yeovil,Stockport,already started,1.48,betfair,3.5,betfair,8.0,betfair
Barrow,Eastleigh,already started,2.75,betfair,2.2,betfair,3.5,betfair
Dover,Wrexham,already started,6.0,betfair,3.5,betfair,1.56,betfair
Morton,Alloa,already started,2.4,betfair,2.3,betfair,3.5,betfair
Queen of South,Dunfermline,already started,10.0,betfair,4.0,betfair,1.36,betfair
Inverness CT,Arbroath,already started,1.85,betfair,2.75,betfair,5.0,betfair
Dundee,Ayr,already started,2.5,betfair,2.4,betfair,3.25,betfair
Chester,Farsley Celtic,already started,1.2,betfair,5.0,betfair,14.0,betfair
York City,Brackley Town,already started,2.75,betfair,2.2,betfair,3.5,betfair
Alfreton Town,Blyth Spartans,already started,1.14,betfair,6.0,betfair,20.0,betfair
Telford,Gateshead,already started,2.4,betfair,2.2,betfair,4.0,betfair
Darlington,Kettering,already started,1.03,betfair,12.0,betfair,50.0,betfair
Gloucester,Altrincham,already started,9.0,betfair,4.0,betfair,1.36,betfair
Chippenham,Billericay Town,already started,1.2,betfair,5.0,betfair,14.0,betfair
Welling Utd,Bath City,already started,75.0,betfair,25.0,betfair,1.002,betfair
Hampton and Richmond,Hemel Hempstead,already started,2.75,betfair,2.5,betfair,2.75,betfair
Dulwich Hamlet,St Albans,already started,4.5,betfair,2.4,betfair,2.1,betfair
Weymouth,Chelmsford,already started,3.5,betfair,2.3,betfair,2.5,betfair
Braintree,Wealdstone,already started,10.0,betfair,4.0,betfair,1.28,betfair
Dorking Wanderers,Tonbridge Angels,already started,1.001,betfair,50.0,betfair,250.0,betfair
Eastbourne,Oxford City,already started,1.16,betfair,5.0,betfair,16.0,betfair
Hungerford,Maidstone Utd,already started,4.5,betfair,2.4,betfair,2.1,betfair
Dartford,Havant and W,already started,1.64,betfair,3.25,betfair,5.0,betfair
Djurgardens,Sirius,already started, ,betfair,250.0,betfair,250.0,betfair
Gaz Metan Medias,Astra Giurgiu,already started,2.1,betfair,3.0,betfair,3.5,betfair
Halmstads,Dalkurd FF,already started,1.002,betfair,18.0,betfair,75.0,betfair
Rosenborg,Tromso,already started, ,betfair,250.0,betfair,250.0,betfair
Botev Plovdiv,Tsarsko Selo,already started,1.36,betfair,4.0,betfair,7.0,betfair
Prostejov,Pardubice,already started,2.5,betfair,3.0,betfair,2.5,betfair
East Fife,Peterhead,already started,2.5,betfair,2.2,betfair,3.5,betfair
Montrose,Airdrieonians,already started,4.5,betfair,2.5,betfair,2.1,betfair
Raith,Clyde,already started,1.05,betfair,10.0,betfair,25.0,betfair
Falkirk,Dumbarton,already started, ,betfair,250.0,betfair,250.0,betfair
Forfar,Stranraer,already started,2.1,betfair,2.4,betfair,5.0,betfair
Annan,Elgin,already started,2.5,betfair,2.3,betfair,3.25,betfair
Edinburgh City,Brechin,already started,1.16,betfair,6.0,betfair,16.0,betfair
Cowdenbeath,Stirling,already started,3.0,betfair,2.3,betfair,3.0,betfair
Albion,Cove Rangers,already started,50.0,betfair,14.0,betfair,1.01,betfair
Queens Park,Stenhousemuir,already started,6.0,betfair,3.25,betfair,1.56,betfair
Rapid Vienna,SCR Altach,already started,1.2,betfair,6.0,betfair,12.0,betfair
Admira Wacker,LASK Linz,already started,6.0,betfair,4.2,betfair,1.5,betfair
Red Bull Salzburg,Wolfsberger AC,already started,1.25,betfair,5.5,betfair,9.0,betfair
Vendsyssel FF,Vejle,already started,20.0,betfair,8.0,betfair,1.08,betfair
New Project,FK Auda,already started,5.0,betfair,4.5,betfair,1.5,betfair
